"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1322"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1322"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","1322"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","1322"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","1322"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","1322"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1322"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","1322"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1322"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1322"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","1322"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","5","524"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","12","524"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","11","524"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","11","524"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","11","524"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","9","524"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","8","524"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","6","524"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","4","524"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","4","524"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","19","524"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","2","59881"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","6","59881"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","12","59881"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","12","59881"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","11","59881"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","9","59881"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","8","59881"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","6","59881"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","6","59881"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","5","59881"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","23","59881"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","2","55400"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","6","55400"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","12","55400"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","12","55400"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","11","55400"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","9","55400"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","8","55400"
