"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","value_type","Denominator"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","6","%","243"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","11","%","243"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","13","%","243"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","13","%","243"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","15","%","243"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","12","%","243"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","5","%","243"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","2","%","243"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","20","%","243"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","5","%","215"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","5","%","215"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","9","%","215"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","10","%","215"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","8","%","215"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","10","%","215"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","8","%","215"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","6","%","215"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","4","%","215"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","7","%","215"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","29","%","215"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","2","%","361"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","5","%","361"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","8","%","361"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","8","%","361"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","11","%","361"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","11","%","361"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","7","%","361"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","11","%","361"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","4","%","361"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","6","%","361"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","28","%","361"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,288"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","%","1,288"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","%","1,288"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","%","1,288"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","%","1,288"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","%","1,288"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","%","1,288"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","%","1,288"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,288"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,288"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","19","%","1,288"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","3","%","483"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","4","%","483"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","8","%","483"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","13","%","483"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","10","%","483"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","12","%","483"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","7","%","483"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","7","%","483"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","5","%","483"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","4","%","483"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","27","%","483"
