"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","0","70,403"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","~","70,403"
"State Pension by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","25","70,403"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","~","70,403"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","5","70,403"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","49","436"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","49","436"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","16","436"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","0","436"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","1","436"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","0","436"
"Child Benefit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","30","436"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","16","436"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","13","436"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","2","436"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","2","436"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","1","436"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","15","436"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","1","436"
"Income Support by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","2","436"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","0","436"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","2","436"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","19","436"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","44","436"
"Pension Credit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","3","436"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","0","436"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","0","436"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","0","436"
"State Pension by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","8","436"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","1","436"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","10","436"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","49","3,111"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","49","3,111"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","16","3,111"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","~","3,111"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","1","3,111"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","1","3,111"
"Child Benefit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","27","3,111"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","16","3,111"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","14","3,111"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","5","3,111"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","4","3,111"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","2","3,111"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","11","3,111"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","1","3,111"
"Income Support by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","3","3,111"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","~","3,111"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","4","3,111"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","20","3,111"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","43","3,111"
"Pension Credit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","3","3,111"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","0","3,111"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","0","3,111"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","~","3,111"
"State Pension by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","9","3,111"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","~","3,111"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","9","3,111"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","55","319"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","55","319"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","29","319"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","0","319"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","1","319"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","1","319"
"Child Benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","34","319"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","28","319"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","25","319"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","4","319"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","5","319"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","7","319"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","21","319"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","0","319"
"Income Support by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","6","319"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","0","319"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","4","319"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","33","319"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","46","319"
"Pension Credit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","2","319"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","0","319"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","0","319"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","~","319"
"State Pension by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","7","319"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","~","319"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","15","319"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","57","1,659"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","58","1,659"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","22","1,659"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,659"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,659"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,659"
"Child Benefit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","31","1,659"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","21","1,659"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","25","1,659"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,659"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,659"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,659"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","25","1,659"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,659"
"Income Support by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,659"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,659"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","7","1,659"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","32","1,659"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","49","1,659"
"Pension Credit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,659"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,659"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,659"
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,659"
"State Pension by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","10","1,659"
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,659"
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","10","1,659"
