"Measure","Time","Time_type","Ethnicity ","Ethnicity_type","Value","Value_type","Denominator"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","572"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","50","%","3,092"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","49","%","3,092"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","17","%","3,092"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","20","%","3,092"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","43","%","3,092"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","28","%","3,092"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","10","%","3,092"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","16","%","3,092"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","3","%","3,092"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","10","%","3,092"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","4","%","3,092"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","13","%","3,092"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","4","%","3,092"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","2","%","3,092"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","9","%","3,092"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,092"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","1","%","3,092"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,092"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","1","%","3,092"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","1","%","3,092"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","5","%","3,092"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","4","%","3,092"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","0","%","3,092"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","0","%","3,092"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,092"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,092"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","48","%","1,281"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","47","%","1,281"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","10","%","1,281"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","15","%","1,281"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","42","%","1,281"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","22","%","1,281"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","5","%","1,281"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","9","%","1,281"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","2","%","1,281"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","6","%","1,281"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","4","%","1,281"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","9","%","1,281"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","4","%","1,281"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","1","%","1,281"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","12","%","1,281"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","-","%","1,281"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","1","%","1,281"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","-","%","1,281"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","1","%","1,281"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","2","%","1,281"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","6","%","1,281"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","5","%","1,281"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","0","%","1,281"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","0","%","1,281"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","-","%","1,281"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","0","%","1,281"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","57","%","800"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","56","%","800"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","29","%","800"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","25","%","800"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","48","%","800"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","35","%","800"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","17","%","800"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","27","%","800"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","4","%","800"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","10","%","800"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","3","%","800"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","17","%","800"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","5","%","800"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","3","%","800"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","6","%","800"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","-","%","800"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","1","%","800"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","-","%","800"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","1","%","800"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","2","%","800"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","7","%","800"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","6","%","800"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","0","%","800"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","0","%","800"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","-","%","800"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","-","%","800"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","59","%","305"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","58","%","305"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","29","%","305"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","35","%","305"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","49","%","305"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","35","%","305"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","16","%","305"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","28","%","305"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","6","%","305"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","21","%","305"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","3","%","305"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","27","%","305"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","6","%","305"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","6","%","305"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","9","%","305"
