"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","All","All","Midlands & East","Grouped region","Acute Trust","83","%","220","264"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Wolverhampton NHS Trust","RL4","White","White & Other","Midlands & East","Grouped region","Acute Trust","89","%","1578","1782"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Wolverhampton NHS Trust","RL4","Other","White & Other","Midlands & East","Grouped region","Acute Trust","76","%","319","419"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Wolverhampton NHS Trust","RL4","All","All","Midlands & East","Grouped region","Acute Trust","86","%","1897","2201"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Shrewsbury And Telford Hospital NHS Trust","RXW","White","White & Other","Midlands & East","Grouped region","Acute Trust","87","%","1195","1378"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Shrewsbury And Telford Hospital NHS Trust","RXW","Other","White & Other","Midlands & East","Grouped region","Acute Trust","84","%","91","108"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Shrewsbury And Telford Hospital NHS Trust","RXW","All","All","Midlands & East","Grouped region","Acute Trust","87","%","1286","1486"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","United Lincolnshire Hospitals NHS Trust","RWD","White","White & Other","Midlands & East","Grouped region","Acute Trust","83","%","1414","1695"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","United Lincolnshire Hospitals NHS Trust","RWD","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","134","171"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","United Lincolnshire Hospitals NHS Trust","RWD","All","All","Midlands & East","Grouped region","Acute Trust","83","%","1548","1866"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands & East","Grouped region","Acute Trust","88","%","1771","2013"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands & East","Grouped region","Acute Trust","74","%","433","582"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Birmingham NHS Foundation Trust","RRK","All","All","Midlands & East","Grouped region","Acute Trust","85","%","2204","2595"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Coventry And Warwickshire NHS Trust","RKB","White","White & Other","Midlands & East","Grouped region","Acute Trust","89","%","1544","1736"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Coventry And Warwickshire NHS Trust","RKB","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","342","438"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Coventry And Warwickshire NHS Trust","RKB","All","All","Midlands & East","Grouped region","Acute Trust","87","%","1886","2174"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Of Leicester NHS Trust","RWE","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","2107","2441"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Of Leicester NHS Trust","RWE","Other","White & Other","Midlands & East","Grouped region","Acute Trust","71","%","530","745"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Of Leicester NHS Trust","RWE","All","All","Midlands & East","Grouped region","Acute Trust","83","%","2637","3186"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Of North Midlands NHS Trust","RJE","White","White & Other","Midlands & East","Grouped region","Acute Trust","82","%","2069","2516"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Of North Midlands NHS Trust","RJE","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","245","316"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Of North Midlands NHS Trust","RJE","All","All","Midlands & East","Grouped region","Acute Trust","82","%","2314","2832"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands & East","Grouped region","Acute Trust","84","%","661","789"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands & East","Grouped region","Acute Trust","68","%","132","194"
