"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cornwall Partnership NHS Foundation Trust","RJ8","All","White & Other","South","Grouped region","Mental Health Trust","90","%","737","822"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands","Grouped region","Acute","82","%","40","49"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands","Grouped region","Acute","92","%","357","386"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Warwickshire NHS Foundation Trust","RJC","All","White & Other","Midlands","Grouped region","Acute","91","%","397","435"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands","Grouped region","Acute Trust","82","%","32","39"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands","Grouped region","Acute Trust","93","%","359","387"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Warwickshire NHS Foundation Trust","RJC","All","White & Other","Midlands","Grouped region","Acute Trust","92","%","391","426"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of North Midlands NHS Trust","RJE","Other","White & Other","Midlands","Grouped region","Acute","72","%","223","309"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of North Midlands NHS Trust","RJE","White","White & Other","Midlands","Grouped region","Acute","82","%","2024","2463"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals of North Midlands NHS Trust","RJE","All","White & Other","Midlands","Grouped region","Acute","81","%","2247","2772"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Of North Midlands NHS Trust","RJE","Other","White & Other","Midlands","Grouped region","Acute Trust","78","%","245","316"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Of North Midlands NHS Trust","RJE","White","White & Other","Midlands","Grouped region","Acute Trust","82","%","2069","2516"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Of North Midlands NHS Trust","RJE","All","White & Other","Midlands","Grouped region","Acute Trust","82","%","2314","2832"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Burton Hospitals NHS Foundation Trust","RJF","Other","White & Other","Midlands","Grouped region","Acute Trust","76","%","66","87"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Burton Hospitals NHS Foundation Trust","RJF","White","White & Other","Midlands","Grouped region","Acute Trust","88","%","716","810"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Burton Hospitals NHS Foundation Trust","RJF","All","White & Other","Midlands","Grouped region","Acute Trust","87","%","782","897"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute","62","%","47","76"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute","80","%","889","1110"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","All","White & Other","North","Grouped region","Acute","79","%","936","1186"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute Trust","73","%","67","92"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute Trust","79","%","900","1140"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","All","White & Other","North","Grouped region","Acute Trust","78","%","967","1232"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Cheshire NHS Trust","RJN","Other","White & Other","North","Grouped region","Acute","83","%","44","53"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Cheshire NHS Trust","RJN","White","White & Other","North","Grouped region","Acute","90","%","626","693"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Cheshire NHS Trust","RJN","All","White & Other","North","Grouped region","Acute","90","%","670","746"
