"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","164","7583","6979","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","198","9155","8131","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","124","5745","5379","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","27","1254","1100","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","49","2277","1990","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","30","1413","1223","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","8","380","338","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","209","9664","8452","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","908","23974","21107","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","14","369","304","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","65","1728","1464","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","168","4427","3820","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","245","6481","6197","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","17","441","303","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","52","1385","1239","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","24","643","553","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","15","407","334","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","296","7812","6643","1377","1290","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","836","16591","14016","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","21","421","322","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","79","1575","1298","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","202","4011","3566","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","134","2666","2568","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","46","912","690","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","44","879","699","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","25","492","413","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","267","5309","4181","1035","944","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","White","ONS 2011 5+1","All modes","1013","1425387","1334842","73370","73459","               "
