"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","Activity Not Captured","20.3","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","Activity Not Captured","7.3","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","Activity Not Captured","12.8","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","Activity Not Captured","13.9","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","Activity Not Captured","11.5","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","White","LEO","Activity Not Captured","8.6","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","Activity Not Captured","11.5","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","Activity Not Captured","10.9","%","965"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","Activity Not Captured","7.6","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","Activity Not Captured","15.5","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","Activity Not Captured","12.8","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Asian Background","LEO","Activity Not Captured","17.5","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Black Background","LEO","Activity Not Captured","15.3","%","690"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","17.9","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Bangladeshi","LEO","Activity Not Captured","12.1","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black Caribbean","LEO","Activity Not Captured","10.4","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Chinese","LEO","Activity Not Captured","29.2","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Indian","LEO","Activity Not Captured","11","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Unknown","LEO","Activity Not Captured","15.1","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Other","LEO","Activity Not Captured","19.8","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Pakistani","LEO","Activity Not Captured","16.2","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","White","LEO","Activity Not Captured","12.1","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Asian","LEO","Activity Not Captured","16.4","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black African","LEO","Activity Not Captured","14.9","%","550"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black Caribbean","LEO","Activity Not Captured","9.9","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Further Study With Or Without Sustained Employment","29.1","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Further Study With Or Without Sustained Employment","24.1","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Further Study With Or Without Sustained Employment","25.7","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Further Study With Or Without Sustained Employment","25.5","%","990"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Further Study With Or Without Sustained Employment","23.9","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Further Study With Or Without Sustained Employment","35.7","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Further Study With Or Without Sustained Employment","24.1","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Further Study With Or Without Sustained Employment","21.3","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Further Study With Or Without Sustained Employment","25.8","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Further Study With Or Without Sustained Employment","23.6","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Further Study With Or Without Sustained Employment","19.6","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Further Study With Or Without Sustained Employment","27.3","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Further Study With Or Without Sustained Employment","27","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Further Study With Or Without Sustained Employment","23.5","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Further Study With Or Without Sustained Employment","26.6","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Further Study With Or Without Sustained Employment","24.2","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Further Study With Or Without Sustained Employment","20.4","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Further Study With Or Without Sustained Employment","20.4","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Further Study With Or Without Sustained Employment","14.6","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Further Study With Or Without Sustained Employment","15.9","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Further Study With Or Without Sustained Employment","17.2","%","870"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Further Study With Or Without Sustained Employment","15.3","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Further Study With Or Without Sustained Employment","22.9","%","260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Further Study With Or Without Sustained Employment","11.7","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Further Study With Or Without Sustained Employment","16.3","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Further Study With Or Without Sustained Employment","13.5","%","2665"
