"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","83","132587","115000","42582","37248","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3441","5505105","5206029","647846","609494","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1948","3116147","3048126","354378","342007","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","134416","111417","22543","18563","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","36","56831","49635","5478","4721","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","55","87752","83875","1113","1052","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","209","335109","311001","74638","68688","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","121","192943","192044","12676","12523","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","57","91637","86551","5373","4852","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","510","815183","737361","30918","27232","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","53","85473","79470","18356","16719","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","200","320439","289920","505985","447588","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4595","453948","386225","96028","80230","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","13","1254","981","646","505","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","227","22451","18544","6726","5642","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1832","181043","154619","25341","21634","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1263","124746","112274","18359","16491","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","198","19607","15543","2792","2194","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","160","15781","12585","3855","3040","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","48","4762","4391","529","412","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","518","51178","40496","2609","2121","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","36","3536","2866","729","614","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","186","18387","15006","33939","27208","5151","4717","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4637","214891","191914","49145","43767","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","628","29084","26609","9051","8286","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1572","72859","65037","9238","8216","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","958","44379","40832","5849","5476","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","231","10686","9305","1609","1409","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","254","11750","10036","2524","2200","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","37","1728","1498","375","349","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","565","26200","22262","1667","1444","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","43","1975","1746","468","421","2416","2316","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","189","8775","7672","17753","15420","2416","2316","            "
